Row,Reason
10787,duplicate Longitude/Lattitude in upload file
10914,duplicate Longitude/Lattitude in upload file
10915,duplicate Longitude/Lattitude in upload file
10916,duplicate Longitude/Lattitude in upload file
10917,duplicate Longitude/Lattitude in upload file
10918,duplicate Longitude/Lattitude in upload file
10919,duplicate Longitude/Lattitude in upload file
10920,duplicate Longitude/Lattitude in upload file
10921,duplicate Longitude/Lattitude in upload file
10922,duplicate Longitude/Lattitude in upload file
10923,duplicate Longitude/Lattitude in upload file
10924,duplicate Longitude/Lattitude in upload file
10925,duplicate Longitude/Lattitude in upload file
10926,duplicate Longitude/Lattitude in upload file
10927,duplicate Longitude/Lattitude in upload file
10928,duplicate Longitude/Lattitude in upload file
10929,duplicate Longitude/Lattitude in upload file
10930,duplicate Longitude/Lattitude in upload file
10931,duplicate Longitude/Lattitude in upload file
10932,duplicate Longitude/Lattitude in upload file
10933,duplicate Longitude/Lattitude in upload file
10934,duplicate Longitude/Lattitude in upload file
10935,duplicate Longitude/Lattitude in upload file
10936,duplicate Longitude/Lattitude in upload file
10937,duplicate Longitude/Lattitude in upload file
11012,duplicate Longitude/Lattitude in upload file
11013,duplicate Longitude/Lattitude in upload file
11014,duplicate Longitude/Lattitude in upload file
11015,duplicate Longitude/Lattitude in upload file
11016,duplicate Longitude/Lattitude in upload file
11017,duplicate Longitude/Lattitude in upload file
11018,duplicate Longitude/Lattitude in upload file
11019,duplicate Longitude/Lattitude in upload file
11020,duplicate Longitude/Lattitude in upload file
11021,duplicate Longitude/Lattitude in upload file
11022,duplicate Longitude/Lattitude in upload file
11023,duplicate Longitude/Lattitude in upload file
11024,duplicate Longitude/Lattitude in upload file
11025,duplicate Longitude/Lattitude in upload file
11026,duplicate Longitude/Lattitude in upload file
11027,duplicate Longitude/Lattitude in upload file
11028,duplicate Longitude/Lattitude in upload file
11029,duplicate Longitude/Lattitude in upload file
11030,duplicate Longitude/Lattitude in upload file
11031,duplicate Longitude/Lattitude in upload file
11032,duplicate Longitude/Lattitude in upload file
11033,duplicate Longitude/Lattitude in upload file
11034,duplicate Longitude/Lattitude in upload file
11035,duplicate Longitude/Lattitude in upload file
11036,duplicate Longitude/Lattitude in upload file
11037,duplicate Longitude/Lattitude in upload file
11038,duplicate Longitude/Lattitude in upload file
11039,duplicate Longitude/Lattitude in upload file
11040,duplicate Longitude/Lattitude in upload file
11041,duplicate Longitude/Lattitude in upload file
11042,duplicate Longitude/Lattitude in upload file
11043,duplicate Longitude/Lattitude in upload file
11044,duplicate Longitude/Lattitude in upload file
11045,duplicate Longitude/Lattitude in upload file
11046,duplicate Longitude/Lattitude in upload file
11047,duplicate Longitude/Lattitude in upload file
11118,duplicate Longitude/Lattitude in upload file
11119,duplicate Longitude/Lattitude in upload file
11120,duplicate Longitude/Lattitude in upload file
11210,duplicate Longitude/Lattitude in upload file
11211,duplicate Longitude/Lattitude in upload file
11212,duplicate Longitude/Lattitude in upload file
11213,duplicate Longitude/Lattitude in upload file
11214,duplicate Longitude/Lattitude in upload file
11215,duplicate Longitude/Lattitude in upload file
11315,duplicate Longitude/Lattitude in upload file
11316,duplicate Longitude/Lattitude in upload file
11317,duplicate Longitude/Lattitude in upload file
11318,duplicate Longitude/Lattitude in upload file
11319,duplicate Longitude/Lattitude in upload file
11320,duplicate Longitude/Lattitude in upload file
11321,duplicate Longitude/Lattitude in upload file
11322,duplicate Longitude/Lattitude in upload file
11323,duplicate Longitude/Lattitude in upload file
11324,duplicate Longitude/Lattitude in upload file
11325,duplicate Longitude/Lattitude in upload file
11326,duplicate Longitude/Lattitude in upload file
11327,duplicate Longitude/Lattitude in upload file
11328,duplicate Longitude/Lattitude in upload file
11329,duplicate Longitude/Lattitude in upload file
11330,duplicate Longitude/Lattitude in upload file
11331,duplicate Longitude/Lattitude in upload file
11332,duplicate Longitude/Lattitude in upload file
11333,duplicate Longitude/Lattitude in upload file
11334,duplicate Longitude/Lattitude in upload file
11335,duplicate Longitude/Lattitude in upload file
11336,duplicate Longitude/Lattitude in upload file
11337,duplicate Longitude/Lattitude in upload file
11338,duplicate Longitude/Lattitude in upload file
11339,duplicate Longitude/Lattitude in upload file
11340,duplicate Longitude/Lattitude in upload file
11341,duplicate Longitude/Lattitude in upload file
11342,duplicate Longitude/Lattitude in upload file
11343,duplicate Longitude/Lattitude in upload file
11344,duplicate Longitude/Lattitude in upload file
11345,duplicate Longitude/Lattitude in upload file
11346,duplicate Longitude/Lattitude in upload file
11347,duplicate Longitude/Lattitude in upload file
11348,duplicate Longitude/Lattitude in upload file
11349,duplicate Longitude/Lattitude in upload file
11350,duplicate Longitude/Lattitude in upload file
11351,duplicate Longitude/Lattitude in upload file
11352,duplicate Longitude/Lattitude in upload file
11353,duplicate Longitude/Lattitude in upload file
11354,duplicate Longitude/Lattitude in upload file
11355,duplicate Longitude/Lattitude in upload file
11356,duplicate Longitude/Lattitude in upload file
11357,duplicate Longitude/Lattitude in upload file
11358,duplicate Longitude/Lattitude in upload file
11359,duplicate Longitude/Lattitude in upload file
11360,duplicate Longitude/Lattitude in upload file
11361,duplicate Longitude/Lattitude in upload file
11362,duplicate Longitude/Lattitude in upload file
11363,duplicate Longitude/Lattitude in upload file
11364,duplicate Longitude/Lattitude in upload file
11365,duplicate Longitude/Lattitude in upload file
11366,duplicate Longitude/Lattitude in upload file
11367,duplicate Longitude/Lattitude in upload file
11368,duplicate Longitude/Lattitude in upload file
11369,duplicate Longitude/Lattitude in upload file
11370,duplicate Longitude/Lattitude in upload file
11371,duplicate Longitude/Lattitude in upload file
11372,duplicate Longitude/Lattitude in upload file
11373,duplicate Longitude/Lattitude in upload file
11374,duplicate Longitude/Lattitude in upload file
11375,duplicate Longitude/Lattitude in upload file
11376,duplicate Longitude/Lattitude in upload file
11377,duplicate Longitude/Lattitude in upload file
11378,duplicate Longitude/Lattitude in upload file
11379,duplicate Longitude/Lattitude in upload file
11380,duplicate Longitude/Lattitude in upload file
11381,duplicate Longitude/Lattitude in upload file
11382,duplicate Longitude/Lattitude in upload file
11383,duplicate Longitude/Lattitude in upload file
11384,duplicate Longitude/Lattitude in upload file
